ip,data_time,request_method,request_path,protocol,status_code,response_size,text
10.223.157.186,15/Jul/2009:14:58:59 -0700,GET,/,HTTP/1.1,403,202,"User with IP 10.223.157.186, made request of type GET, on date and time 15/Jul/2009:14:58:59 -0700, accessed request path /, used HTTP/1.1 protocol, returned 403 status code, received 202 bytes of data."
10.223.157.186,15/Jul/2009:14:58:59 -0700,GET,/favicon.ico,HTTP/1.1,404,209,"User with IP 10.223.157.186, made request of type GET, on date and time 15/Jul/2009:14:58:59 -0700, accessed request path /favicon.ico, used HTTP/1.1 protocol, returned 404 status code, received 209 bytes of data."
10.216.113.172,16/Jul/2009:02:51:29 -0700,GET,/assets/css/reset.css,HTTP/1.1,200,1014,"User with IP 10.216.113.172, made request of type GET, on date and time 16/Jul/2009:02:51:29 -0700, accessed request path /assets/css/reset.css, used HTTP/1.1 protocol, returned 200 status code, received 1014 bytes of data."
10.216.113.172,16/Jul/2009:02:51:29 -0700,GET,/assets/css/960.css,HTTP/1.1,200,6206,"User with IP 10.216.113.172, made request of type GET, on date and time 16/Jul/2009:02:51:29 -0700, accessed request path /assets/css/960.css, used HTTP/1.1 protocol, returned 200 status code, received 6206 bytes of data."
10.216.113.172,16/Jul/2009:02:51:29 -0700,GET,/assets/js/the-associates.js,HTTP/1.1,200,4492,"User with IP 10.216.113.172, made request of type GET, on date and time 16/Jul/2009:02:51:29 -0700, accessed request path /assets/js/the-associates.js, used HTTP/1.1 protocol, returned 200 status code, received 4492 bytes of data."
10.216.113.172,16/Jul/2009:02:51:29 -0700,GET,/assets/css/the-associates.css,HTTP/1.1,200,15779,"User with IP 10.216.113.172, made request of type GET, on date and time 16/Jul/2009:02:51:29 -0700, accessed request path /assets/css/the-associates.css, used HTTP/1.1 protocol, returned 200 status code, received 15779 bytes of data."
10.216.113.172,16/Jul/2009:02:51:29 -0700,GET,/assets/js/lightbox.js,HTTP/1.1,200,25960,"User with IP 10.216.113.172, made request of type GET, on date and time 16/Jul/2009:02:51:29 -0700, accessed request path /assets/js/lightbox.js, used HTTP/1.1 protocol, returned 200 status code, received 25960 bytes of data."
10.216.113.172,16/Jul/2009:02:51:30 -0700,GET,/assets/img/dummy/primary-news-2.jpg,HTTP/1.1,200,9925,"User with IP 10.216.113.172, made request of type GET, on date and time 16/Jul/2009:02:51:30 -0700, accessed request path /assets/img/dummy/primary-news-2.jpg, used HTTP/1.1 protocol, returned 200 status code, received 9925 bytes of data."
10.216.113.172,16/Jul/2009:02:51:30 -0700,GET,/assets/img/dummy/secondary-news-2.jpg,HTTP/1.1,200,5397,"User with IP 10.216.113.172, made request of type GET, on date and time 16/Jul/2009:02:51:30 -0700, accessed request path /assets/img/dummy/secondary-news-2.jpg, used HTTP/1.1 protocol, returned 200 status code, received 5397 bytes of data."
10.82.30.199,16/Jul/2009:03:00:06 -0700,GET,/assets/css/960.css,HTTP/1.1,200,6206,"User with IP 10.82.30.199, made request of type GET, on date and time 16/Jul/2009:03:00:06 -0700, accessed request path /assets/css/960.css, used HTTP/1.1 protocol, returned 200 status code, received 6206 bytes of data."
10.82.30.199,16/Jul/2009:03:00:06 -0700,GET,/assets/css/reset.css,HTTP/1.1,200,1014,"User with IP 10.82.30.199, made request of type GET, on date and time 16/Jul/2009:03:00:06 -0700, accessed request path /assets/css/reset.css, used HTTP/1.1 protocol, returned 200 status code, received 1014 bytes of data."
10.82.30.199,16/Jul/2009:03:00:06 -0700,GET,/assets/js/lowpro.js,HTTP/1.1,200,10469,"User with IP 10.82.30.199, made request of type GET, on date and time 16/Jul/2009:03:00:06 -0700, accessed request path /assets/js/lowpro.js, used HTTP/1.1 protocol, returned 200 status code, received 10469 bytes of data."
10.82.30.199,16/Jul/2009:03:00:06 -0700,GET,/assets/css/the-associates.css,HTTP/1.1,200,15779,"User with IP 10.82.30.199, made request of type GET, on date and time 16/Jul/2009:03:00:06 -0700, accessed request path /assets/css/the-associates.css, used HTTP/1.1 protocol, returned 200 status code, received 15779 bytes of data."
10.216.113.172,16/Jul/2009:03:15:02 -0700,GET,/assets/img/dummy/secondary-news-3.jpg,HTTP/1.1,200,5604,"User with IP 10.216.113.172, made request of type GET, on date and time 16/Jul/2009:03:15:02 -0700, accessed request path /assets/img/dummy/secondary-news-3.jpg, used HTTP/1.1 protocol, returned 200 status code, received 5604 bytes of data."
10.216.113.172,16/Jul/2009:03:15:02 -0700,GET,/assets/img/dummy/secondary-news-2.jpg,HTTP/1.1,200,5397,"User with IP 10.216.113.172, made request of type GET, on date and time 16/Jul/2009:03:15:02 -0700, accessed request path /assets/img/dummy/secondary-news-2.jpg, used HTTP/1.1 protocol, returned 200 status code, received 5397 bytes of data."
10.153.239.5,28/Jul/2009:18:11:24 -0700,GET,/assets/css/960.css,HTTP/1.1,200,6206,"User with IP 10.153.239.5, made request of type GET, on date and time 28/Jul/2009:18:11:24 -0700, accessed request path /assets/css/960.css, used HTTP/1.1 protocol, returned 200 status code, received 6206 bytes of data."
10.153.239.5,28/Jul/2009:18:11:24 -0700,GET,/assets/css/the-associates.css,HTTP/1.1,200,15779,"User with IP 10.153.239.5, made request of type GET, on date and time 28/Jul/2009:18:11:24 -0700, accessed request path /assets/css/the-associates.css, used HTTP/1.1 protocol, returned 200 status code, received 15779 bytes of data."
10.153.239.5,28/Jul/2009:18:11:25 -0700,GET,/assets/js/the-associates.js,HTTP/1.1,200,4492,"User with IP 10.153.239.5, made request of type GET, on date and time 28/Jul/2009:18:11:25 -0700, accessed request path /assets/js/the-associates.js, used HTTP/1.1 protocol, returned 200 status code, received 4492 bytes of data."
10.153.239.5,29/Jul/2009:09:18:53 -0700,GET,/assets/img/dummy/people/person-03.jpg,HTTP/1.1,200,10584,"User with IP 10.153.239.5, made request of type GET, on date and time 29/Jul/2009:09:18:53 -0700, accessed request path /assets/img/dummy/people/person-03.jpg, used HTTP/1.1 protocol, returned 200 status code, received 10584 bytes of data."
10.153.239.5,29/Jul/2009:09:18:53 -0700,GET,/assets/img/dummy/people/person-01.jpg,HTTP/1.1,200,8057,"User with IP 10.153.239.5, made request of type GET, on date and time 29/Jul/2009:09:18:53 -0700, accessed request path /assets/img/dummy/people/person-01.jpg, used HTTP/1.1 protocol, returned 200 status code, received 8057 bytes of data."
10.153.239.5,29/Jul/2009:09:18:53 -0700,GET,/assets/img/dummy/people/person-02.jpg,HTTP/1.1,200,9075,"User with IP 10.153.239.5, made request of type GET, on date and time 29/Jul/2009:09:18:53 -0700, accessed request path /assets/img/dummy/people/person-02.jpg, used HTTP/1.1 protocol, returned 200 status code, received 9075 bytes of data."
10.82.30.199,29/Jul/2009:09:34:56 -0700,GET,/displaytitle.php?id=9,HTTP/1.1,200,9512,"User with IP 10.82.30.199, made request of type GET, on date and time 29/Jul/2009:09:34:56 -0700, accessed request path /displaytitle.php?id=9, used HTTP/1.1 protocol, returned 200 status code, received 9512 bytes of data."
10.82.30.199,29/Jul/2009:09:34:57 -0700,GET,/displaytitle.php?id=9,HTTP/1.1,200,9512,"User with IP 10.82.30.199, made request of type GET, on date and time 29/Jul/2009:09:34:57 -0700, accessed request path /displaytitle.php?id=9, used HTTP/1.1 protocol, returned 200 status code, received 9512 bytes of data."
10.149.183.192,28/Jan/2010:02:58:17 -0800,GET,/assets/img/play_icon.png,HTTP/1.1,200,10827,"User with IP 10.149.183.192, made request of type GET, on date and time 28/Jan/2010:02:58:17 -0800, accessed request path /assets/img/play_icon.png, used HTTP/1.1 protocol, returned 200 status code, received 10827 bytes of data."
10.149.183.192,28/Jan/2010:02:58:17 -0800,GET,/assets/img/banner/ten-years-banner-white.jpg,HTTP/1.1,200,18077,"User with IP 10.149.183.192, made request of type GET, on date and time 28/Jan/2010:02:58:17 -0800, accessed request path /assets/img/banner/ten-years-banner-white.jpg, used HTTP/1.1 protocol, returned 200 status code, received 18077 bytes of data."
10.149.183.192,28/Jan/2010:02:58:17 -0800,GET,/images/frontpagepics/0000/0013/Suspiria700.jpg,HTTP/1.1,200,167547,"User with IP 10.149.183.192, made request of type GET, on date and time 28/Jan/2010:02:58:17 -0800, accessed request path /images/frontpagepics/0000/0013/Suspiria700.jpg, used HTTP/1.1 protocol, returned 200 status code, received 167547 bytes of data."
10.149.183.192,28/Jan/2010:02:58:17 -0800,GET,/images/frontpagepics/0000/0012/Thirst700.jpg,HTTP/1.1,200,160271,"User with IP 10.149.183.192, made request of type GET, on date and time 28/Jan/2010:02:58:17 -0800, accessed request path /images/frontpagepics/0000/0012/Thirst700.jpg, used HTTP/1.1 protocol, returned 200 status code, received 160271 bytes of data."
10.216.113.172,28/Jan/2010:03:07:33 -0800,GET,/assets/img/banner/ten-years-banner-black.jpg,HTTP/1.1,200,16846,"User with IP 10.216.113.172, made request of type GET, on date and time 28/Jan/2010:03:07:33 -0800, accessed request path /assets/img/banner/ten-years-banner-black.jpg, used HTTP/1.1 protocol, returned 200 status code, received 16846 bytes of data."
10.216.113.172,28/Jan/2010:03:07:32 -0800,GET,/images/filmpics/0000/1091/FistOfLegend_2DSleeve_thumb.jpg,HTTP/1.1,200,57052,"User with IP 10.216.113.172, made request of type GET, on date and time 28/Jan/2010:03:07:32 -0800, accessed request path /images/filmpics/0000/1091/FistOfLegend_2DSleeve_thumb.jpg, used HTTP/1.1 protocol, returned 200 status code, received 57052 bytes of data."
10.216.113.172,28/Jan/2010:03:07:34 -0800,GET,/images/filmpics/0000/1107/KillZone_2DSleeve_thumb.jpg,HTTP/1.1,200,69941,"User with IP 10.216.113.172, made request of type GET, on date and time 28/Jan/2010:03:07:34 -0800, accessed request path /images/filmpics/0000/1107/KillZone_2DSleeve_thumb.jpg, used HTTP/1.1 protocol, returned 200 status code, received 69941 bytes of data."
10.216.113.172,28/Jan/2010:03:07:35 -0800,GET,/images/filmpics/0000/0867/abd4816_thumb.jpg,HTTP/1.1,200,44959,"User with IP 10.216.113.172, made request of type GET, on date and time 28/Jan/2010:03:07:35 -0800, accessed request path /images/filmpics/0000/0867/abd4816_thumb.jpg, used HTTP/1.1 protocol, returned 200 status code, received 44959 bytes of data."
